"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","null","html-keyboard-response","410","670454","0.0-1.0-1.204","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","661","canvas-keyboard-response","411","671616","0.0-1.0-0.205","f","false","40","true","response","false",""
"","null","html-keyboard-response","412","673118","0.0-1.0-1.205","null","","","","","","Wrong"
"","965","canvas-keyboard-response","413","674583","0.0-1.0-0.206","j","false","30","true","response","true",""
"","null","html-keyboard-response","414","676085","0.0-1.0-1.206","null","","","","","","Correct!"
"","1014","canvas-keyboard-response","415","677600","0.0-1.0-0.207","j","true","20","true","response","false",""
"","null","html-keyboard-response","416","679101","0.0-1.0-1.207","null","","","","","","Wrong"
"","1878","canvas-keyboard-response","417","681480","0.0-1.0-0.208","j","false","30","true","response","true",""
"","null","html-keyboard-response","418","682983","0.0-1.0-1.208","null","","","","","","Correct!"
"","1766","canvas-keyboard-response","419","685249","0.0-1.0-0.209","j","false","30","true","response","true",""
"","null","html-keyboard-response","420","686751","0.0-1.0-1.209","null","","","","","","Correct!"
"","637","canvas-keyboard-response","421","687889","0.0-1.0-0.210","j","false","20","false","response","true",""
"","null","html-keyboard-response","422","689391","0.0-1.0-1.210","null","","","","","","Correct!"
"","581","canvas-keyboard-response","423","690473","0.0-1.0-0.211","f","true","10","false","response","true",""
"","null","html-keyboard-response","424","691975","0.0-1.0-1.211","null","","","","","","Correct!"
"","597","canvas-keyboard-response","425","693073","0.0-1.0-0.212","f","true","20","false","response","true",""
"","null","html-keyboard-response","426","694574","0.0-1.0-1.212","null","","","","","","Correct!"
"","1055","canvas-keyboard-response","427","696130","0.0-1.0-0.213","j","false","20","true","response","true",""
"","null","html-keyboard-response","428","697631","0.0-1.0-1.213","null","","","","","","Correct!"
"","918","canvas-keyboard-response","429","699050","0.0-1.0-0.214","j","false","30","false","response","true",""
"","null","html-keyboard-response","430","700551","0.0-1.0-1.214","null","","","","","","Correct!"
"","566","canvas-keyboard-response","431","701618","0.0-1.0-0.215","f","true","10","false","response","true",""
"","null","html-keyboard-response","432","703119","0.0-1.0-1.215","null","","","","","","Correct!"
"","653","canvas-keyboard-response","433","704274","0.0-1.0-0.216","f","true","10","false","response","true",""
"","null","html-keyboard-response","434","705775","0.0-1.0-1.216","null","","","","","","Correct!"
"","1119","canvas-keyboard-response","435","707395","0.0-1.0-0.217","j","false","10","true","response","true",""
"","null","html-keyboard-response","436","708897","0.0-1.0-1.217","null","","","","","","Correct!"
"","1117","canvas-keyboard-response","437","710515","0.0-1.0-0.218","j","false","40","true","response","true",""
"","null","html-keyboard-response","438","712016","0.0-1.0-1.218","null","","","","","","Correct!"
"","556","canvas-keyboard-response","439","713075","0.0-1.0-0.219","j","false","40","false","response","true",""
"","null","html-keyboard-response","440","714577","0.0-1.0-1.219","null","","","","","","Correct!"
"","533","canvas-keyboard-response","441","715611","0.0-1.0-0.220","f","true","40","false","response","true",""
