"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","948","canvas-keyboard-response","277","430618","0.0-1.0-0.138","f","true","30","true","response","true",""
"","null","html-keyboard-response","278","432119","0.0-1.0-1.138","null","","","","","","Correct!"
"","553","canvas-keyboard-response","279","433178","0.0-1.0-0.139","f","true","40","false","response","true",""
"","null","html-keyboard-response","280","434680","0.0-1.0-1.139","null","","","","","","Correct!"
"","528","canvas-keyboard-response","281","435711","0.0-1.0-0.140","f","true","20","false","response","true",""
"","null","html-keyboard-response","282","437214","0.0-1.0-1.140","null","","","","","","Correct!"
"","641","canvas-keyboard-response","283","438359","0.0-1.0-0.141","j","false","20","false","response","true",""
"","null","html-keyboard-response","284","439861","0.0-1.0-1.141","null","","","","","","Correct!"
"","808","canvas-keyboard-response","285","441171","0.0-1.0-0.142","j","false","20","true","response","true",""
"","null","html-keyboard-response","286","442674","0.0-1.0-1.142","null","","","","","","Correct!"
"","622","canvas-keyboard-response","287","443799","0.0-1.0-0.143","j","false","10","false","response","true",""
"","null","html-keyboard-response","288","445302","0.0-1.0-1.143","null","","","","","","Correct!"
"","621","canvas-keyboard-response","289","446427","0.0-1.0-0.144","f","true","40","true","response","true",""
"","null","html-keyboard-response","290","447928","0.0-1.0-1.144","null","","","","","","Correct!"
"","1097","canvas-keyboard-response","291","449529","0.0-1.0-0.145","j","false","30","false","response","true",""
"","null","html-keyboard-response","292","451031","0.0-1.0-1.145","null","","","","","","Correct!"
"","617","canvas-keyboard-response","293","452153","0.0-1.0-0.146","j","false","20","false","response","true",""
"","null","html-keyboard-response","294","453656","0.0-1.0-1.146","null","","","","","","Correct!"
"","624","canvas-keyboard-response","295","454784","0.0-1.0-0.147","f","true","30","false","response","true",""
"","null","html-keyboard-response","296","456286","0.0-1.0-1.147","null","","","","","","Correct!"
"","542","canvas-keyboard-response","297","457332","0.0-1.0-0.148","f","true","30","false","response","true",""
"","null","html-keyboard-response","298","458834","0.0-1.0-1.148","null","","","","","","Correct!"
"","668","canvas-keyboard-response","299","460005","0.0-1.0-0.149","f","true","30","true","response","true",""
"","null","html-keyboard-response","300","461508","0.0-1.0-1.149","null","","","","","","Correct!"
"","507","canvas-keyboard-response","301","462518","0.0-1.0-0.150","f","true","20","false","response","true",""
"","null","html-keyboard-response","302","464020","0.0-1.0-1.150","null","","","","","","Correct!"
"","797","canvas-keyboard-response","303","465321","0.0-1.0-0.151","j","false","30","false","response","true",""
"","null","html-keyboard-response","304","466824","0.0-1.0-1.151","null","","","","","","Correct!"
"","658","canvas-keyboard-response","305","467985","0.0-1.0-0.152","f","true","40","true","response","true",""
"","null","html-keyboard-response","306","469487","0.0-1.0-1.152","null","","","","","","Correct!"
